"FieldworkerCode","Currency","DateofDataCollection","Province","City","Suburb","Outlet_type","Brand_name","Sub_brand","Cig_num","Price_local","Comment","Country","Price_local_cig","Exchange_dollar","Price_dollar","Price_dollar_cig","Pack_cat"
"OO9","BWP",6/27/2016,"Central","Palapye","N/A","Retail","Peter Stuyvesant","Mint Rush",20,40.35,,2,2.01749992370605,10.9047002792358,3.70023918151855,0.185011953115463,3
"OO9","BWP",6/27/2016,"Central","Palapye","N/A","Retail","Peter Stuyvesant","Silver",20,36.95,,2,1.8474999666214,10.9047002792358,3.38844704627991,0.16942235827446,3
"OO9","BWP",6/27/2016,"Central","Palapye","N/A","Retail","Peter Stuyvesant","Blue",20,36.95,,2,1.8474999666214,10.9047002792358,3.38844704627991,0.16942235827446,3
"OO9","BWP",6/27/2016,"Central","Palapye","N/A","Retail","Peter Stuyvesant","Blue",10,18.95,,2,1.89499998092651,10.9047002792358,1.7377827167511,0.173778265714645,2
"OO9","BWP",6/27/2016,"Central","Palapye","N/A","Retail","Craven A","Menthol",20,36.95,,2,1.8474999666214,10.9047002792358,3.38844704627991,0.16942235827446,3
"OO9","BWP",6/27/2016,"Central","Palapye","N/A","Retail","Craven A","Menthol",10,18.95,,2,1.89499998092651,10.9047002792358,1.7377827167511,0.173778265714645,2
"OO9","BWP",6/27/2016,"Central","Palapye","N/A","Retail","Peter Stuyvesant","King Size",10,18.95,,2,1.89499998092651,10.9047002792358,1.7377827167511,0.173778265714645,2
"OO9","BWP",6/27/2016,"Central","Palapye","N/A","Retail","Marlboro","Blue Ice Box",20,42.55,,2,2.12750005722046,10.9047002792358,3.90198707580566,0.195099353790283,3
"OO9","BWP",6/27/2016,"Central","Palapye","N/A","Retail","Marlboro","Gold King Size",20,42.55,,2,2.12750005722046,10.9047002792358,3.90198707580566,0.195099353790283,3
"OO9","BWP",6/27/2016,"Central","Palapye","N/A","Retail","Marlboro","Red",20,42.55,,2,2.12750005722046,10.9047002792358,3.90198707580566,0.195099353790283,3
"OO9","BWP",6/27/2016,"Central","Palapye","N/A","Retail","Yes","International",20,20.65,,2,1.03250002861023,10.9047002792358,1.89367878437042,0.094683937728405,3
"OO9","BWP",6/27/2016,"Central","Palapye","N/A","Retail","Forum","Dark Blue",20,20.65,,2,1.03250002861023,10.9047002792358,1.89367878437042,0.094683937728405,3
"OO9","BWP",6/27/2016,"Central","Palapye","N/A","Retail","Yes","Soft Pack",20,20.65,,2,1.03250002861023,10.9047002792358,1.89367878437042,0.094683937728405,3
"OO9","BWP",6/27/2016,"Central","Palapye","N/A","Retail","Forum","Menthol",20,20.65,,2,1.03250002861023,10.9047002792358,1.89367878437042,0.094683937728405,3
"OO9","BWP",6/27/2016,"Central","Palapye","N/A","Retail","Forum","Red",20,20.65,,2,1.03250002861023,10.9047002792358,1.89367878437042,0.094683937728405,3
"OO9","BWP",6/27/2016,"Central","Palapye","N/A","Retail","Chesterfield","Red",20,35.45,,2,1.77250003814697,10.9047002792358,3.25089168548584,0.162544578313828,3
"OO9","BWP",6/27/2016,"Central","Palapye","N/A","Retail","Chesterfield","Blue",20,35.45,,2,1.77250003814697,10.9047002792358,3.25089168548584,0.162544578313828,3
"OO9","BWP",6/27/2016,"Central","Palapye","N/A","Retail","Rothmans","Blue King Size",20,36.95,,2,1.8474999666214,10.9047002792358,3.38844704627991,0.16942235827446,3
"OO9","BWP",6/27/2016,"Central","Palapye","N/A","Retail","Rothmans","Red King Size",20,36.95,,2,1.8474999666214,10.9047002792358,3.38844704627991,0.16942235827446,3
"OO9","BWP",6/27/2016,"Central","Palapye","N/A","Retail","Rothmans","Special",20,36.95,,2,1.8474999666214,10.9047002792358,3.38844704627991,0.16942235827446,3
"OO9","BWP",6/27/2016,"Central","Palapye","N/A","Retail","Vogue","Luxury Slims",20,40.95,,2,2.04749989509583,10.9047002792358,3.75526142120361,0.187763065099716,3
"OO9","BWP",6/27/2016,"Central","Palapye","N/A","Retail","Chesterfield","Panther Line",20,29.95,,2,1.49749994277954,10.9047002792358,2.74652218818665,0.1373261064291,3
"OO9","BWP",6/27/2016,"Central","Palapye","N/A","Retail","Chesterfield","Soft Taste",20,29.95,,2,1.49749994277954,10.9047002792358,2.74652218818665,0.1373261064291,3
"OO9","BWP",6/27/2016,"Central","Palapye","N/A","Retail","Camel","Filter Box",20,36.95,,2,1.8474999666214,10.9047002792358,3.38844704627991,0.16942235827446,3
"OO9","BWP",6/27/2016,"Central","Palapye","N/A","Retail","Camel","Filter Soft",20,36.95,,2,1.8474999666214,10.9047002792358,3.38844704627991,0.16942235827446,3
"OO9","BWP",6/27/2016,"Central","Palapye","N/A","Retail","Liggett Ducat (L.D.)","Menthol",20,19.65,,2,0.982500016689301,10.9047002792358,1.80197525024414,0.0900987610220909,3
"OO9","BWP",6/27/2016,"Central","Palapye","N/A","Retail","Camel","Activate",20,27.95,,2,1.39750003814697,10.9047002792358,2.5631148815155,0.128155738115311,3
